Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2016-09-11 11:00:00,"Early Morning Workout",34m,"Squat (Barbell)",1,20.0,10,0,0,"","",
2016-09-11 11:00:00,"Early Morning Workout",34m,"Squat (Barbell)",2,20.0,10,0,0,,,
2016-09-11 11:00:00,"Early Morning Workout",34m,"Squat (Barbell)",3,30.0,5,0,0,,,
2016-09-11 11:00:00,"Early Morning Workout",34m,"Squat (Barbell)",4,35.0,5,0,0,,,
2016-09-11 11:00:00,"Early Morning Workout",34m,"Squat (Barbell)",5,40.0,5,0,0,,,
2016-09-11 11:00:00,"Early Morning Workout",34m,"Squat (Barbell)",6,40.0,5,0,0,,,
2016-09-11 11:00:00,"Early Morning Workout",34m,"Squat (Barbell)",7,40.0,5,0,0,,,
2016-09-11 11:00:00,"Early Morning Workout",34m,"Squat (Barbell)",8,40.0,5,0,0,,,
2016-09-11 11:00:00,"Early Morning Workout",34m,"Bench Press (Barbell)",1,20.0,10,0,0,"",,
2016-09-11 11:00:00,"Early Morning Workout",34m,"Bench Press (Barbell)",2,20.0,10,0,0,,,
2016-09-11 11:00:00,"Early Morning Workout",34m,"Bench Press (Barbell)",3,25.0,5,0,0,,,
2016-09-11 11:00:00,"Early Morning Workout",34m,"Bench Press (Barbell)",4,30.0,5,0,0,,,
2016-09-11 11:00:00,"Early Morning Workout",34m,"Bench Press (Barbell)",5,37.5,5,0,0,,,
2016-09-11 11:00:00,"Early Morning Workout",34m,"Bench Press (Barbell)",6,45.0,5,0,0,,,
2016-09-11 11:00:00,"Early Morning Workout",34m,"Bench Press (Barbell)",7,45.0,5,0,0,,,
2016-09-11 11:00:00,"Early Morning Workout",34m,"Bench Press (Barbell)",8,45.0,5,0,0,,,
2016-09-11 11:00:00,"Early Morning Workout",34m,"Deadlift (Barbell)",1,40.0,5,0,0,"",,
2016-09-11 11:00:00,"Early Morning Workout",34m,"Deadlift (Barbell)",2,40.0,5,0,0,,,
2016-09-11 11:00:00,"Early Morning Workout",34m,"Deadlift (Barbell)",3,60.0,5,0,0,,,
2016-09-11 11:00:00,"Early Morning Workout",34m,"Deadlift (Barbell)",4,65.0,4,0,0,,,
2016-09-11 11:00:00,"Early Morning Workout",34m,"Deadlift (Barbell)",5,70.0,2,0,0,,,
2016-09-11 11:00:00,"Early Morning Workout",34m,"Deadlift (Barbell)",6,75.0,5,0,0,,,
2016-09-13 17:00:49,"Early Morning Workout",42m,"Squat (Barbell)",1,20.0,5,0,0,"","",
2016-09-13 17:00:49,"Early Morning Workout",42m,"Squat (Barbell)",2,20.0,5,0,0,,,
2016-09-13 17:00:49,"Early Morning Workout",42m,"Squat (Barbell)",3,30.0,5,0,0,,,
2016-09-13 17:00:49,"Early Morning Workout",42m,"Squat (Barbell)",4,35.0,5,0,0,,,
2016-09-13 17:00:49,"Early Morning Workout",42m,"Squat (Barbell)",5,40.0,5,0,0,,,
2016-09-13 17:00:49,"Early Morning Workout",42m,"Squat (Barbell)",6,45.0,5,0,0,,,
2016-09-13 17:00:49,"Early Morning Workout",42m,"Squat (Barbell)",7,45.0,5,0,0,,,
2016-09-13 17:00:49,"Early Morning Workout",42m,"Squat (Barbell)",8,45.0,5,0,0,,,
2016-09-13 17:00:49,"Early Morning Workout",42m,"Strict Military Press (Barbell)",1,20.0,10,0,0,"",,
2016-09-13 17:00:49,"Early Morning Workout",42m,"Strict Military Press (Barbell)",2,25.0,5,0,0,,,
2016-09-13 17:00:49,"Early Morning Workout",42m,"Strict Military Press (Barbell)",3,25.0,7,0,0,,,
2016-09-13 17:00:49,"Early Morning Workout",42m,"Strict Military Press (Barbell)",4,27.5,5,0,0,,,
2016-09-13 17:00:49,"Early Morning Workout",42m,"Strict Military Press (Barbell)",5,27.5,5,0,0,,,
2016-09-13 17:00:49,"Early Morning Workout",42m,"Strict Military Press (Barbell)",6,27.5,5,0,0,,,
2016-09-13 17:00:49,"Early Morning Workout",42m,"Deadlift (Barbell)",1,40.0,5,0,0,"",,
2016-09-13 17:00:49,"Early Morning Workout",42m,"Deadlift (Barbell)",2,50.0,5,0,0,,,
2016-09-13 17:00:49,"Early Morning Workout",42m,"Deadlift (Barbell)",3,60.0,3,0,0,,,
2016-09-13 17:00:49,"Early Morning Workout",42m,"Deadlift (Barbell)",4,70.0,3,0,0,,,
2016-09-13 17:00:49,"Early Morning Workout",42m,"Deadlift (Barbell)",5,80.0,5,0,0,,,
2016-09-18 11:00:16,"Morning Workout",48m,"Squat (Barbell)",1,20.0,5,0,0,"","",
2016-09-18 11:00:16,"Morning Workout",48m,"Squat (Barbell)",2,20.0,5,0,0,,,
2016-09-18 11:00:16,"Morning Workout",48m,"Squat (Barbell)",3,30.0,5,0,0,,,
2016-09-18 11:00:16,"Morning Workout",48m,"Squat (Barbell)",4,40.0,5,0,0,,,
2016-09-18 11:00:16,"Morning Workout",48m,"Squat (Barbell)",5,45.0,5,0,0,,,
2016-09-18 11:00:16,"Morning Workout",48m,"Squat (Barbell)",6,50.0,5,0,0,,,
2016-09-18 11:00:16,"Morning Workout",48m,"Squat (Barbell)",7,50.0,5,0,0,,,
2016-09-18 11:00:16,"Morning Workout",48m,"Squat (Barbell)",8,50.0,5,0,0,,,
2016-09-18 11:00:16,"Morning Workout",48m,"Bench Press (Barbell)",1,20.0,5,0,0,"",,
2016-09-18 11:00:16,"Morning Workout",48m,"Bench Press (Barbell)",2,20.0,5,0,0,,,
2016-09-18 11:00:16,"Morning Workout",48m,"Bench Press (Barbell)",3,27.5,5,0,0,,,
